,number,pos_match_num,group_match_num,field_match_num,pos_match_per,group_match_per,field_match_per,datetime_start,datetime_complete,duration,alpha,beta,gamma,k,only_content_feature,top_n_feature,top_n_target,window_size,state
82,82,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 16:47:43.834843,2022-08-03 16:57:30.773353,0 days 00:09:46.938510,0.4,0.6000000000000001,0.6,100,False,3000,1000,3,COMPLETE
83,83,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 16:57:30.773890,2022-08-03 17:04:02.070058,0 days 00:06:31.296168,0.4,0.8,0.2,100,True,3000,1000,2,COMPLETE
84,84,37.0,4.0,1.0,0.053857350800582245,0.005822416302765648,0.001455604075691412,2022-08-03 17:04:02.072364,2022-08-03 17:09:13.095292,0 days 00:05:11.022928,0.6,0.4,0.6,100,True,3000,500,3,COMPLETE
85,85,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 17:09:13.096164,2022-08-03 17:14:47.136412,0 days 00:05:34.040248,0.4,0.6000000000000001,0.6,100,False,3000,1000,2,COMPLETE
86,86,29.0,9.0,9.0,0.4393939393939394,0.13636363636363635,0.13636363636363635,2022-08-03 17:14:47.136728,2022-08-03 17:19:30.592426,0 days 00:04:43.455698,0.2,0.8,0.4,100,True,2000,1000,3,COMPLETE
87,87,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 17:19:30.594095,2022-08-03 17:29:09.186859,0 days 00:09:38.592764,0.4,0.8,0.6,100,True,3000,1000,3,COMPLETE
88,88,1895.0,226.0,130.0,0.4993412384716733,0.05955204216073781,0.034255599472990776,2022-08-03 17:29:09.188652,2022-08-03 18:12:31.028349,0 days 00:43:21.839697,0.6,0.6000000000000001,0.6,100,False,3000,1000,2,COMPLETE
89,89,475.0,68.0,47.0,0.47690763052208834,0.06827309236947791,0.04718875502008032,2022-08-03 18:12:31.031385,2022-08-03 18:16:51.011195,0 days 00:04:19.979810,0.4,0.8,0.6,100,True,3000,500,3,COMPLETE
90,90,8.0,4.0,4.0,0.38095238095238093,0.19047619047619047,0.19047619047619047,2022-08-03 18:16:51.013017,2022-08-03 18:21:22.980700,0 days 00:04:31.967683,0.2,0.6000000000000001,0.2,100,False,2000,1000,2,COMPLETE
91,91,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 18:21:22.981647,2022-08-03 18:31:40.287881,0 days 00:10:17.306234,0.4,0.4,0.4,100,True,3000,1000,3,COMPLETE
92,92,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 18:31:40.288220,2022-08-03 18:42:09.373472,0 days 00:10:29.085252,0.4,0.8,0.6,100,True,3000,1000,3,COMPLETE
